design_id,site,solar_mw_initial,batt_mw_initial,solar_battery_ratio,year,capacity_fraction,solar_degradation,mean_soc,soc_p90,efc,mean_temp,c_rate_max,c_rate_mean,mean_soc_relative,soc_p90_relative,efc_relative,c_rate_max_relative,c_rate_mean_relative,uptime_pct
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,7,0.9240001114196851,0.9577759318338107,0.8417746408542081,1.0,131.01917327318708,29.997384724439083,0.27056273793721314,0.04436051331980209,0.9836729839406969,1.0,1.0819018462289325,1.0822509517488526,1.0765880084885908,99.54337899543378
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,8,0.9179872577617572,0.9525081642087249,0.8404307977561815,1.0,131.8719489161322,29.997401241746402,0.27233493481113424,0.044621698338699785,0.9821026085860265,1.0,1.0889437128464057,1.089339739244537,1.0829267236724074,99.52054794520548
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,9,0.9123021026033912,0.9472693693055769,0.8391396105933415,1.0,132.68413736193463,29.997417059116803,0.2740320331243208,0.04486294593253456,0.9805937654020506,1.0,1.0956504272687848,1.0961281324972831,1.088781576269059,99.50913242009133
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,10,0.9068841402429846,0.9420593877743962,0.8378947359565565,1.0,133.46011571771928,29.99743028143945,0.27566917195510404,0.04511697403302185,0.9791390416682069,1.0,1.1020581338264088,1.1026766878204162,1.0949465997626369,99.49771689497717
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,11,0.9017069730488837,0.9368780611416371,0.8366789038262594,1.0,134.2073868940019,29.99744174433209,0.2772519315833736,0.04533923676217943,0.9777182561496901,1.0,1.1082287884340982,1.1090077263334943,1.1003407075183327,99.45205479452055
7,Chicago,530.8250846504287,271.21363538490857,0.48930530714014203,12,0.8967401023479016,0.9317252318053582,0.8354869790391881,1.0,134.9309139891954,29.997452866004622,0.27878757662943165,0.04556138845013929,0.9763254080463765,1.0,1.1142033742945534,1.1151503065177266,1.1057321204084158,99.45205479452055
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,0,1.0,1.0,0.8873263898849815,1.0,99.10456234667437,29.99664106458215,0.25,0.034499222821854275,1.0,1.0,1.0,1.0,1.0,99.93150684931507
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,1,0.9749470318940938,0.99,0.8840717908379124,1.0,101.65021937066045,29.996716088894594,0.2564241869779413,0.03537121186572707,0.9963321286460431,1.0,1.0256865775268873,1.0256967479117651,1.0252756141312382,99.90867579908675
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,2,0.9631502002769297,0.9845550000000001,0.8824674186819713,1.0,102.8971543463106,29.996752767616986,0.2595649151379699,0.035771610592261416,0.9945240316771825,1.0,1.0382685913729126,1.0382596605518797,1.0368816357683606,99.8972602739726
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,3,0.9537580272164025,0.9791399475000001,0.8811078886649053,1.0,103.91491486319859,29.996782618537008,0.26212099176731374,0.036101152488987535,0.9929918671517454,1.0,1.0485381540730414,1.048483967069255,1.0464337899843494,99.88584474885845
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,4,0.9456593423409461,0.9737546777887501,0.8798759484709883,1.0,104.81075120012594,29.99680883447717,0.26436581209162896,0.03638708682011482,0.9916034939353501,1.0,1.0575774587802622,1.0574632483665158,1.054721928317314,99.87442922374429
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,5,0.9384050537082129,0.9683990270609121,0.8787263682826737,1.0,105.62775281703655,29.996832701246504,0.2664094774554942,0.036641822329009734,0.9903079388820809,1.0,1.0658212933481672,1.0656379098219768,1.0621057325905376,99.86301369863013
8,Chicago,604.9878770501492,331.117235732192,0.45677769968116677,6,0.9317695166349035,0.9630728324120772,0.8776355758800919,1.0,106.38752673544978,29.99685485774378,0.2683066955258184,0.03685230890526807,0.989078636547544,1.0,1.0734876802472435,1.0732267821032735,1.0682069302130244,99.85159817351598
